Epoch,Step,Time (seconds),Loss,Accuracy
1,1,,0.2368,0.0795
1,3,,0.1871,0.1155
1,5,,0.1632,0.1511
1,7,,0.1458,0.1802
1,9,,0.1318,0.2027
1,11,,0.1211,0.2206
1,13,,0.1121,0.2491
1,14,,0.1116,0.2511
1,14,18.107,0.1116,0.2511
2,1,,0.0503,0.4943
2,3,,0.0439,0.5379
2,5,,0.0401,0.5545
2,7,,0.0372,0.5714
2,9,,0.0345,0.5985
2,11,,0.0321,0.6204
2,13,,0.0306,0.6368
2,14,,0.0306,0.6342
2,14,10.748,0.0306,0.6342
3,1,,0.0169,0.7955
3,3,,0.0167,0.8030
3,5,,0.0162,0.7852
3,7,,0.0156,0.7971
3,9,,0.0152,0.7986
3,11,,0.0151,0.8011
3,13,,0.0149,0.8081
3,14,0.03,0.0149,0.8091
4,1,,0.0165,0.8977
4,3,,0.0144,0.8561
4,5,,0.014,0.8455
4,7,,0.0137,0.8344
4,9,,0.0136,0.8302
4,11,,0.0133,0.8285
4,13,,0.013,0.8361
4,14,0.029,0.013,0.8359
5,1,,0.0134,0.7784
5,3,,0.0121,0.8144
5,5,,0.012,0.8125
5,7,,0.012,0.8084
5,9,,0.0118,0.8201
5,12,,0.0116,0.8295
5,14,0.027,0.0116,0.8307
6,1,,0.0122,0.8750
6,3,,0.0126,0.8163
6,5,,0.0119,0.8227
6,7,,0.0112,0.8206
6,10,,0.0109,0.8312
6,12,,0.0107,0.8343
6,14,,0.0106,0.8403
6,14,0.027,0.0106,0.8403
7,1,,0.0081,0.9148
7,3,,0.0098,0.8314
7,5,,0.0101,0.8580
7,8,,0.01,0.8516
7,10,,0.0101,0.8398
7,12,,0.0101,0.8343
7,14,,0.01,0.8407
7,14,0.026,0.01,0.8407
8,1,,0.0093,0.8807
8,3,,0.0092,0.8314
8,5,,0.0096,0.8443
8,8,,0.0096,0.8580
8,10,,0.0096,0.8551
8,12,,0.0096,0.8442
8,14,,0.0098,0.8377
8,14,0.027,0.0098,0.8377
9,1,,0.0089,0.7841
9,3,,0.009,0.8277
9,5,,0.0091,0.8375
9,7,,0.0094,0.8352
9,9,,0.0094,0.8251
9,12,,0.0094,0.8366
9,14,,0.0093,0.8433
9,14,0.027,0.0093,0.8433
10,1,,0.0079,0.9205
10,4,,0.0086,0.8537
10,6,,0.0088,0.8381
10,8,,0.0089,0.8438
10,10,,0.0089,0.8432
10,12,,0.0088,0.8480
10,14,0.026,0.0088,0.8485
11,1,,0.0094,0.8182
11,4,,0.0087,0.8494
11,6,,0.0087,0.8456
11,8,,0.0089,0.8430
11,10,,0.0086,0.8432
11,13,,0.0087,0.8466
11,14,0.027,0.0087,0.8472
12,1,,0.0089,0.9148
12,4,,0.0083,0.8821
12,7,,0.0086,0.8506
12,10,,0.0084,0.8557
12,12,,0.0084,0.8414
12,14,,0.0084,0.8455
12,14,0.025,0.0084,0.8455
13,1,,0.0079,0.8580
13,4,,0.0087,0.8366
13,7,,0.0088,0.8344
13,9,,0.0085,0.8460
13,11,,0.0083,0.8466
13,13,,0.0082,0.8431
13,14,0.026,0.0082,0.8437
14,1,,0.0069,0.8864
14,4,,0.008,0.8707
14,7,,0.0082,0.8734
14,10,,0.0083,0.8494
14,12,,0.0082,0.8471
14,14,,0.0081,0.8498
14,14,0.026,0.0081,0.8498
15,1,,0.0075,0.8750
15,3,,0.008,0.8523
15,5,,0.0081,0.8455
15,8,,0.0081,0.8501
15,10,,0.0079,0.8568
15,13,,0.0079,0.8457
15,14,0.025,0.008,0.8463
16,1,,0.0072,0.8466
16,3,,0.0078,0.8504
16,6,,0.0079,0.8485
16,8,,0.0079,0.8501
16,10,,0.0078,0.8483
16,12,,0.0076,0.8537
16,14,,0.0076,0.8519
16,14,0.027,0.0076,0.8519
17,1,,0.0084,0.9261
17,4,,0.0079,0.8494
17,6,,0.0078,0.8390
17,9,,0.0077,0.8491
17,11,,0.0075,0.8564
17,14,,0.0074,0.8580
17,14,0.025,0.0074,0.8580
18,1,,0.0076,0.7557
18,3,,0.0073,0.8352
18,5,,0.0071,0.8489
18,8,,0.0071,0.8381
18,10,,0.007,0.8528
18,12,,0.0069,0.8546
18,14,,0.007,0.8571
18,14,0.026,0.007,0.8571
19,1,,0.0069,0.9148
19,3,,0.0067,0.8561
19,5,,0.0067,0.8420
19,7,,0.0067,0.8482
19,9,,0.0067,0.8561
19,12,,0.0066,0.8636
19,14,,0.0067,0.8619
19,14,0.027,0.0067,0.8619
20,1,,0.0074,0.8580
20,3,,0.007,0.8883
20,5,,0.0066,0.8818
20,8,,0.0065,0.8757
20,10,,0.0066,0.8642
20,12,,0.0066,0.8617
20,14,0.026,0.0066,0.8597
21,1,,0.0064,0.8636
21,3,,0.0068,0.8561
21,6,,0.0067,0.8551
21,8,,0.0066,0.8686
21,11,,0.0065,0.8678
21,13,,0.0063,0.8724
21,14,0.027,0.0064,0.8719
22,1,,0.0055,0.8182
22,3,,0.0061,0.8333
22,5,,0.0063,0.8500
22,8,,0.0063,0.8601
22,11,,0.0063,0.8595
22,13,,0.0062,0.8610
22,14,0.025,0.0061,0.8615
23,1,,0.0051,0.9261
23,4,,0.0058,0.9020
23,7,,0.006,0.8709
23,9,,0.006,0.8699
23,12,,0.006,0.8665
23,14,,0.006,0.8684
23,14,0.026,0.006,0.8684
24,1,,0.0057,0.8636
24,4,,0.0059,0.8878
24,6,,0.0057,0.8883
24,8,,0.0057,0.8793
24,10,,0.0057,0.8699
24,13,,0.0057,0.8763
24,14,0.026,0.0057,0.8758
25,1,,0.0058,0.8523
25,3,,0.0053,0.8636
25,5,,0.0053,0.8545
25,8,,0.0056,0.8679
25,10,,0.0056,0.8693
25,12,,0.0055,0.8698
25,14,,0.0055,0.8732
25,14,0.027,0.0055,0.8732
26,1,,0.0056,0.9034
26,3,,0.0056,0.8996
26,5,,0.0052,0.8966
26,7,,0.0053,0.8896
26,9,,0.0053,0.8819
26,11,,0.0052,0.8724
26,13,,0.0052,0.8711
26,14,0.028,0.0052,0.8714
27,1,,0.0053,0.8068
27,3,,0.0053,0.8542
27,5,,0.0052,0.8591
27,7,,0.005,0.8604
27,9,,0.0051,0.8655
27,12,,0.0051,0.8726
27,14,,0.0051,0.8745
27,14,0.026,0.0051,0.8745
28,1,,0.0051,0.8977
28,3,,0.0049,0.8845
28,5,,0.0048,0.8784
28,7,,0.0049,0.8815
28,9,,0.005,0.8756
28,12,,0.0049,0.8807
28,14,,0.0049,0.8775
28,14,0.027,0.0049,0.8775
29,1,,0.005,0.8750
29,3,,0.0047,0.8939
29,5,,0.0045,0.8898
29,7,,0.0045,0.8888
29,9,,0.0046,0.8864
29,11,,0.0045,0.8817
29,13,,0.0046,0.8807
29,14,0.028,0.0046,0.8810
30,1,,0.0044,0.8807
30,3,,0.0048,0.8598
30,5,,0.0048,0.8739
30,7,,0.0046,0.8864
30,9,,0.0045,0.8819
30,11,,0.0045,0.8812
30,14,,0.0044,0.8805
30,14,0.027,0.0044,0.8805
31,1,,0.0046,0.8693
31,3,,0.0045,0.8807
31,5,,0.0042,0.8727
31,7,,0.0043,0.8742
31,9,,0.0043,0.8794
31,12,,0.0044,0.8774
31,14,,0.0044,0.8771
31,14,0.027,0.0044,0.8771
32,1,,0.0038,0.8750
32,3,,0.004,0.8996
32,5,,0.0041,0.9080
32,8,,0.0042,0.8878
32,10,,0.0042,0.8847
32,12,,0.0042,0.8859
32,14,,0.0042,0.8844
32,14,0.026,0.0042,0.8844
33,1,,0.0042,0.8977
33,4,,0.0041,0.9034
33,6,,0.004,0.9015
33,8,,0.0041,0.8935
33,11,,0.0041,0.8791
33,14,,0.0041,0.8766
33,14,0.024,0.0041,0.8766
34,1,,0.0043,0.8466
34,3,,0.0036,0.8807
34,5,,0.004,0.8591
34,7,,0.004,0.8677
34,9,,0.004,0.8636
34,11,,0.004,0.8698
34,13,,0.004,0.8767
34,14,0.028,0.004,0.8771
35,1,,0.0044,0.9261
35,3,,0.0044,0.8731
35,5,,0.0044,0.8830
35,8,,0.0043,0.8793
35,10,,0.0042,0.8824
35,12,,0.0041,0.8812
35,14,0.025,0.0041,0.8840
36,1,,0.0037,0.9261
36,3,,0.0041,0.9148
36,6,,0.004,0.8835
36,8,,0.0041,0.8707
36,10,,0.004,0.8750
36,12,,0.004,0.8741
36,14,,0.004,0.8753
36,14,0.028,0.004,0.8753
37,1,,0.0036,0.8864
37,3,,0.004,0.8902
37,5,,0.0039,0.8841
37,7,,0.0039,0.8888
37,9,,0.0038,0.8876
37,11,,0.0039,0.8853
37,13,,0.0038,0.8890
37,14,0.03,0.0039,0.8892
38,1,,0.0044,0.9148
38,4,,0.0038,0.8878
38,6,,0.0037,0.8892
38,7,,0.0036,0.8920
38,9,,0.0037,0.8908
38,11,,0.0038,0.8910
38,13,,0.0038,0.8973
38,14,0.031,0.0038,0.8974
39,1,,0.0036,0.9034
39,3,,0.0041,0.8920
39,6,,0.0039,0.8911
39,8,,0.0037,0.8800
39,10,,0.0037,0.8841
39,13,,0.0037,0.8894
39,14,0.028,0.0037,0.8896
40,1,,0.0031,0.9148
40,3,,0.0033,0.9034
40,5,,0.0036,0.9000
40,7,,0.0036,0.8945
40,9,,0.0035,0.8920
40,11,,0.0035,0.8895
40,13,,0.0035,0.8912
40,14,0.029,0.0035,0.8913
41,1,,0.0032,0.9205
41,3,,0.0037,0.9034
41,5,,0.0038,0.8955
41,7,,0.0037,0.8977
41,9,,0.0036,0.8889
41,11,,0.0035,0.8884
41,14,,0.0034,0.8866
41,14,0.027,0.0034,0.8866
42,1,,0.0035,0.8750
42,4,,0.0036,0.8807
42,6,,0.0036,0.8712
42,9,,0.0035,0.8712
42,11,,0.0034,0.8755
42,14,,0.0034,0.8745
42,14,0.025,0.0034,0.8745
43,1,,0.0029,0.8466
43,3,,0.0032,0.8693
43,5,,0.0035,0.8716
43,7,,0.0033,0.8807
43,9,,0.0034,0.8794
43,11,,0.0034,0.8838
43,13,,0.0034,0.8846
43,14,0.029,0.0034,0.8848
44,1,,0.0032,0.9091
44,3,,0.0033,0.8788
44,5,,0.0034,0.8795
44,8,,0.0035,0.8757
44,11,,0.0034,0.8745
44,13,,0.0034,0.8781
44,14,0.025,0.0034,0.8784
45,1,,0.0044,0.8636
45,3,,0.0038,0.8769
45,6,,0.0038,0.8741
45,8,,0.0036,0.8814
45,10,,0.0035,0.8807
45,12,,0.0034,0.8826
45,14,,0.0034,0.8831
45,14,0.027,0.0034,0.8831
46,1,,0.0035,0.8750
46,4,,0.0033,0.8864
46,6,,0.0033,0.8949
46,9,,0.0032,0.8889
46,11,,0.0032,0.8864
46,13,,0.0032,0.8851
46,14,0.024,0.0032,0.8857
47,1,,0.0036,0.9091
47,3,,0.0032,0.8958
47,5,,0.0031,0.8920
47,7,,0.0031,0.8920
47,10,,0.0031,0.8898
47,13,,0.0031,0.8938
47,14,0.025,0.0031,0.8944
48,1,,0.0028,0.9091
48,3,,0.0029,0.8845
48,5,,0.0032,0.8795
48,7,,0.0033,0.8758
48,10,,0.0033,0.8773
48,12,,0.0033,0.8774
48,14,,0.0033,0.8797
48,14,0.028,0.0033,0.8797
49,1,,0.0035,0.8636
49,3,,0.003,0.8826
49,5,,0.0029,0.8830
49,8,,0.003,0.8871
49,10,,0.0031,0.8909
49,12,,0.0031,0.8887
49,14,,0.0031,0.8913
49,14,0.031,0.0031,0.8913
50,1,,0.0034,0.8977
50,4,,0.0028,0.9105
50,7,,0.0029,0.8945
50,9,,0.003,0.8870
50,11,,0.003,0.8848
50,14,,0.0029,0.8892
50,14,0.023,0.0029,0.8892
51,1,,0.0035,0.9091
51,4,,0.0032,0.9020
51,7,,0.003,0.8815
51,10,,0.003,0.8892
51,12,,0.003,0.8864
51,14,,0.003,0.8861
51,14,0.024,0.003,0.8861
52,1,,0.0032,0.8523
52,3,,0.003,0.8845
52,6,,0.0031,0.8797
52,8,,0.003,0.8764
52,10,,0.003,0.8818
52,12,,0.003,0.8835
52,14,,0.003,0.8866
52,14,0.027,0.003,0.8866
53,1,,0.0031,0.9148
53,3,,0.0031,0.8920
53,5,,0.0029,0.9011
53,7,,0.0028,0.8880
53,9,,0.0029,0.8826
53,11,,0.0029,0.8802
53,13,,0.0029,0.8842
53,14,0.029,0.0029,0.8844
54,1,,0.0032,0.8920
54,3,,0.003,0.9223
54,6,,0.0029,0.9072
54,8,,0.0029,0.9070
54,10,,0.0029,0.9017
54,12,,0.0029,0.8991
54,14,,0.0029,0.8970
54,14,0.026,0.0029,0.8970
55,1,,0.0033,0.8750
55,3,,0.003,0.8864
55,5,,0.0031,0.9000
55,7,,0.0031,0.8856
55,9,,0.0031,0.8832
55,11,,0.003,0.8853
55,13,,0.003,0.8798
55,14,0.029,0.003,0.8801
56,1,,0.0032,0.8750
56,4,,0.0028,0.9077
56,7,,0.0028,0.8985
56,10,,0.0029,0.8937
56,12,,0.0028,0.8897
56,14,,0.0028,0.8870
56,14,0.026,0.0028,0.8870
57,1,,0.003,0.9091
57,3,,0.0029,0.8958
57,6,,0.0029,0.9081
57,9,,0.0028,0.8914
57,11,,0.0027,0.8900
57,13,,0.0028,0.8890
57,14,0.026,0.0028,0.8892
58,1,,0.0024,0.8750
